2024-10-30 19:45:47,571 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -33.2, 'tilt_y': 61.53}
2024-10-30 19:45:52,580 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -28.0, 'tilt_y': -43.16}
2024-10-30 19:45:57,590 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 2.8, 'tilt_y': 41.81}
2024-10-30 19:46:02,598 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -37.59, 'tilt_y': -83.75}
2024-10-30 19:46:07,625 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -12.96, 'tilt_y': 49.92}
2024-10-30 19:46:12,645 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 70.66, 'tilt_y': 66.23}
2024-10-30 19:46:49,546 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 77.59, 'tilt_y': 34.68}
2024-10-30 19:46:54,550 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -13.18, 'tilt_y': -79.92}
2024-10-30 19:46:59,560 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 86.06, 'tilt_y': 24.28}
2024-11-03 12:35:17,093 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -8.58, 'tilt_y': -63.4}
2024-11-03 12:35:22,095 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -20.59, 'tilt_y': 69.71}
2024-11-03 12:35:27,105 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -14.96, 'tilt_y': -18.75}
2024-11-03 12:35:32,116 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 39.42, 'tilt_y': -44.53}
2024-11-03 12:35:37,138 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 10.22, 'tilt_y': -77.62}
2024-11-03 12:35:42,156 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -52.13, 'tilt_y': -12.49}
2024-11-03 12:35:47,169 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 16.05, 'tilt_y': 30.75}
2024-11-03 17:34:18,672 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -30.12, 'tilt_y': 40.6}
2024-11-03 17:34:23,685 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -55.68, 'tilt_y': -70.41}
2024-11-03 17:34:28,704 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -36.07, 'tilt_y': 13.32}
2024-11-03 18:18:07,399 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -28.46, 'tilt_y': 68.64}
2024-11-03 18:18:12,408 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -69.19, 'tilt_y': -19.4}
2024-11-03 18:18:17,426 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -87.62, 'tilt_y': 62.18}
2024-11-03 18:18:22,445 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -75.61, 'tilt_y': -19.2}
2024-11-03 18:18:27,460 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -0.91, 'tilt_y': -74.3}
2024-11-03 18:18:32,472 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -48.09, 'tilt_y': 1.32}
2024-11-03 18:18:37,478 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 11.86, 'tilt_y': -34.73}
2024-11-03 18:18:42,490 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 22.11, 'tilt_y': 48.31}
2024-11-03 18:18:47,503 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 85.11, 'tilt_y': -42.11}
2024-11-03 18:18:52,521 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -79.94, 'tilt_y': -9.42}
